data,cambio_usd
2014-01-01,2.38
2014-02-01,2.41
2014-03-01,2.44
2014-04-01,2.47
2014-05-01,2.5
2014-06-01,2.53
2014-07-01,2.56
2014-08-01,2.59
2014-09-01,2.62
2014-10-01,2.65
2014-11-01,2.68
2014-12-01,2.71
2015-01-01,2.74
2015-02-01,2.77
2015-03-01,2.8
2015-04-01,2.83
2015-05-01,2.86
2015-06-01,2.89
2015-07-01,2.92
2015-08-01,2.95
2015-09-01,2.98
2015-10-01,3.01
2015-11-01,3.04
2015-12-01,3.07
2016-01-01,3.1
2016-02-01,3.13
2016-03-01,3.16
2016-04-01,3.19
2016-05-01,3.22
2016-06-01,3.25
2016-07-01,3.28
2016-08-01,3.31
2016-09-01,3.34
2016-10-01,3.37
2016-11-01,3.4
2016-12-01,3.43
2017-01-01,3.46
2017-02-01,3.49
2017-03-01,3.52
2017-04-01,3.55
2017-05-01,3.58
2017-06-01,3.61
2017-07-01,3.64
2017-08-01,3.67
2017-09-01,3.7
2017-10-01,3.73
2017-11-01,3.76
2017-12-01,3.79
2018-01-01,3.82
2018-02-01,3.85
2018-03-01,3.88
2018-04-01,3.91
2018-05-01,3.94
2018-06-01,3.97
2018-07-01,4.0
2018-08-01,4.03
2018-09-01,4.06
2018-10-01,4.09
2018-11-01,4.12
2018-12-01,4.15
2019-01-01,4.18
2019-02-01,4.21
2019-03-01,4.24
2019-04-01,4.27
2019-05-01,4.3
2019-06-01,4.33
2019-07-01,4.36
2019-08-01,4.39
2019-09-01,4.42
2019-10-01,4.45
2019-11-01,4.48
2019-12-01,4.51
2020-01-01,4.54
2020-02-01,4.57
2020-03-01,4.6
2020-04-01,4.63
2020-05-01,4.66
2020-06-01,4.69
2020-07-01,4.72
2020-08-01,4.75
2020-09-01,4.78
2020-10-01,4.81
2020-11-01,4.84
2020-12-01,4.87
2021-01-01,4.9
2021-02-01,4.93
2021-03-01,4.96
2021-04-01,4.99
2021-05-01,5.02
2021-06-01,5.05
2021-07-01,5.08
2021-08-01,5.11
2021-09-01,5.14
2021-10-01,5.17
2021-11-01,5.2
2021-12-01,5.23
2022-01-01,5.26
2022-02-01,5.29
2022-03-01,5.32
2022-04-01,5.35
2022-05-01,5.38
2022-06-01,5.41
2022-07-01,5.44
2022-08-01,5.47
2022-09-01,5.5
2022-10-01,5.53
2022-11-01,5.56
2022-12-01,5.59
2023-01-01,5.62
2023-02-01,5.65
2023-03-01,5.68
2023-04-01,5.71
2023-05-01,5.74
2023-06-01,5.77
2023-07-01,5.8
2023-08-01,5.83
2023-09-01,5.86
2023-10-01,5.89
2023-11-01,5.92
2023-12-01,5.95
2024-01-01,5.98
2024-02-01,6.01
2024-03-01,6.04
2024-04-01,6.07
2024-05-01,6.1
2024-06-01,6.13
2024-07-01,6.16
2024-08-01,6.19
2024-09-01,6.2
2024-10-01,6.2
2024-11-01,6.2
2024-12-01,6.2
2025-01-01,6.2
2025-02-01,6.2
2025-03-01,6.2
2025-04-01,6.2
2025-05-01,6.2
2025-06-01,6.2
2025-07-01,6.2
2025-08-01,6.2
2025-09-01,6.2
2025-10-01,6.2
2025-11-01,6.2
2025-12-01,6.2
2026-01-01,6.2
2026-02-01,6.2
2026-03-01,6.2
2026-04-01,6.2
