data,ipca
2014-01-01,0.49
2014-02-01,0.5
2014-03-01,0.51
2014-04-01,0.52
2014-05-01,0.53
2014-06-01,0.54
2014-07-01,0.55
2014-08-01,0.56
2014-09-01,0.57
2014-10-01,0.58
2014-11-01,0.59
2014-12-01,0.6
2015-01-01,0.61
2015-02-01,0.62
2015-03-01,0.63
2015-04-01,0.64
2015-05-01,0.65
2015-06-01,0.66
2015-07-01,0.67
2015-08-01,0.68
2015-09-01,0.69
2015-10-01,0.7
2015-11-01,0.71
2015-12-01,0.72
2016-01-01,0.73
2016-02-01,0.74
2016-03-01,0.75
2016-04-01,0.76
2016-05-01,0.77
2016-06-01,0.78
2016-07-01,0.79
2016-08-01,0.8
2016-09-01,0.81
2016-10-01,0.82
2016-11-01,0.83
2016-12-01,0.84
2017-01-01,0.85
2017-02-01,0.86
2017-03-01,0.87
2017-04-01,0.88
2017-05-01,0.89
2017-06-01,0.9
2017-07-01,0.91
2017-08-01,0.92
2017-09-01,0.93
2017-10-01,0.94
2017-11-01,0.95
2017-12-01,0.96
2018-01-01,0.97
2018-02-01,0.98
2018-03-01,0.99
2018-04-01,1.0
2018-05-01,1.01
2018-06-01,1.02
2018-07-01,1.03
2018-08-01,1.04
2018-09-01,1.05
2018-10-01,1.06
2018-11-01,1.07
2018-12-01,1.08
2019-01-01,1.09
2019-02-01,1.1
2019-03-01,1.11
2019-04-01,1.12
2019-05-01,1.13
2019-06-01,1.14
2019-07-01,1.15
2019-08-01,1.16
2019-09-01,1.17
2019-10-01,1.18
2019-11-01,1.19
2019-12-01,1.2
2020-01-01,1.21
2020-02-01,1.22
2020-03-01,1.23
2020-04-01,1.24
2020-05-01,1.25
2020-06-01,1.26
2020-07-01,1.27
2020-08-01,1.28
2020-09-01,1.29
2020-10-01,1.3
2020-11-01,1.31
2020-12-01,1.32
2021-01-01,1.33
2021-02-01,1.34
2021-03-01,1.35
2021-04-01,1.36
2021-05-01,1.37
2021-06-01,1.38
2021-07-01,1.39
2021-08-01,1.4
2021-09-01,1.41
2021-10-01,1.42
2021-11-01,1.43
2021-12-01,1.44
2022-01-01,1.45
2022-02-01,1.46
2022-03-01,1.47
2022-04-01,1.48
2022-05-01,1.49
2022-06-01,1.5
2022-07-01,1.51
2022-08-01,1.52
2022-09-01,1.53
2022-10-01,1.54
2022-11-01,1.55
2022-12-01,1.56
2023-01-01,1.57
2023-02-01,1.58
2023-03-01,1.59
2023-04-01,1.6
2023-05-01,1.61
2023-06-01,1.62
2023-07-01,1.63
2023-08-01,1.64
2023-09-01,1.65
2023-10-01,1.66
2023-11-01,1.67
2023-12-01,1.68
2024-01-01,1.69
2024-02-01,1.7
2024-03-01,1.71
2024-04-01,1.72
2024-05-01,1.73
2024-06-01,1.74
2024-07-01,1.75
2024-08-01,1.76
2024-09-01,1.77
2024-10-01,1.78
2024-11-01,1.79
2024-12-01,1.8
2025-01-01,1.8
2025-02-01,1.8
2025-03-01,1.8
2025-04-01,1.8
2025-05-01,1.8
2025-06-01,1.8
2025-07-01,1.8
2025-08-01,1.8
2025-09-01,1.8
2025-10-01,1.8
2025-11-01,1.8
2025-12-01,1.8
2026-01-01,1.8
2026-02-01,1.8
2026-03-01,1.8
2026-04-01,1.8
